compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ac1H2,225,cF12,0.0,metal,17.0642,7.42958,51.1926,256.96,178.194,1.64091,9.0269,8.69238,6.30193,7.62796e-05,50.0653,51.992,3,2,-4.18878,-0.566575
Ag10S8Sb2,36,oS40,1.0621,insulator-indirect,22.1169,5.92631,442.338,205.993,75.891,2.33979,62.4257,58.7111,0.475357,8.8035e-05,48.2835,51.3384,20,3,-2.48474,
Ag12Na4S8,227,cF96,1.0973,insulator-direct,20.7014,5.49082,496.835,211.131,73.1496,2.40148,76.3941,70.4278,0.362498,0.00011383,41.1714,44.6592,24,3,-2.24532,
Ag16Ca6,229,cI44,0.0,metal,23.0274,6.44537,506.602,181.049,64.5958,2.46336,70.4247,64.9353,0.311928,0.000110512,38.8756,42.162,22,2,-1.04315,
Ag1Al1S2,156,hP4,1.8358,insulator-indirect,18.906,4.36896,75.6238,347.002,218.596,2.09697,11.6929,11.2601,5.04353,6.03683e-05,70.7537,73.4734,4,3,-3.86136,
Ag1Au1Zn2,225,cF16,0.0,metal,15.7248,11.4997,62.8993,193.984,122.212,2.65667,12.6484,11.7757,1.08876,8.96457e-05,76.6938,82.3778,4,3,-0.827076,
Ag1Bi1Li2,216,cF16,0.0,metal,20.1606,6.81021,80.6424,168.103,105.833,2.13415,12.9102,11.8352,0.93917,0.000137261,30.9186,33.727,4,3,-2.43854,
Ag1Br1,225,cF8,1.5724,insulator-indirect,24.7872,6.2896,49.5744,134.109,106.356,2.53447,6.66971,5.94932,0.636344,0.000151558,27.2959,30.601,2,2,-1.57923,
Ag1C1,225,cF8,0.0,metal,12.7838,7.78582,25.5675,181.934,144.453,2.4541,6.24806,5.8988,0.868197,7.87e-05,98.7875,104.637,2,2,-2.45768,
Ag1C2K1,123,tP4,2.7517,insulator-indirect,24.7577,2.86712,99.0307,316.881,199.697,1.94034,11.8526,11.3809,4.29392,7.02647e-05,43.0017,44.7841,4,3,-4.62045,
Ag1C2Li1,187,hP4,1.8915,insulator-indirect,17.2064,3.34955,68.8257,381.18,240.015,1.90025,11.5607,11.1137,5.61394,6.9687e-05,59.6841,62.0845,4,3,-4.80147,
Ag1Cd1,221,cP2,0.0,metal,19.4381,9.40884,38.8763,137.911,109.531,2.78256,6.58589,5.94583,0.614437,0.000122852,47.4146,52.5187,2,2,-0.483412,
Ag1Cd1Sb1,216,cF12,0.0,metal,24.8979,7.60374,74.6937,92.9504,64.4826,2.45653,9.57572,8.9612,0.209793,8.95106e-05,45.4746,48.593,3,3,-1.64492,
Ag1Cl1,225,cF8,1.9715,insulator-indirect,22.1525,5.37163,44.3051,144.9,115.087,2.48733,6.6447,5.94038,0.615131,0.000151685,30.1694,33.7465,2,2,-1.81439,
Ag1Cu4Dy1,216,cF24,0.0,metal,15.3075,9.4838,91.8451,167.058,91.9036,2.28618,18.6445,17.7431,0.583335,7.23757e-05,83.2952,87.5266,6,3,-2.501,
Ag1Cu4Er1,216,cF24,0.0,metal,15.2279,9.61987,91.3675,193.062,106.212,2.30013,18.5604,17.656,0.893898,7.24695e-05,84.224,88.538,6,3,-2.49832,
